Id,Label,timeset,modularity_class,pageranks,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
GomesCooper,GomesCooper,,1,0.000068,3,0,1,1,0,1,1
Cyr_Ril,Cyr_Ril,,0,0.000039,31,0,0,0,0,0,0
tanasan21,tanasan21,,7,0.000068,3,0,1,1,0,1,1
CarolynKolberg,CarolynKolberg,,7,0.000068,3,0,1,1,0,1,1
__ashraph,__ashraph,,7,0.000068,3,0,1,1,0,1,1
RHClub1,RHClub1,,0,0.000039,144,0,0,0,0,0,0
LovingBlogs,LovingBlogs,,0,0.000039,698,0,0,0,0,0,0
Beauty_La_Linda,Beauty_La_Linda,,0,0.000072,698,0,0,0,0,0,0
Mustar_za,Mustar_za,,7,0.000068,3,0,2,2,0,2,2
WaZ_0,WaZ_0,,0,0.000039,192,0,0,0,0,0,0
IEmpire1984,IEmpire1984,,7,0.000068,3,0,1,1,0,1,1
luciernaga_dn,luciernaga_dn,,6,0.000068,3,0,1,1,0,1,1
Turkia14,Turkia14,,0,0.000039,699,0,0,0,0,0,0
Ethikos30,Ethikos30,,0,0.000105,699,0,0,0,0,0,0
luanphialways,luanphialways,,1,0.000068,3,0,1,1,0,1,1
uanlili,uanlili,,1,0.000068,3,0,1,1,0,1,1
Joohnny09Santos,Joohnny09Santos,,0,0.000039,196,0,0,0,0,0,0
lekhethoworld,lekhethoworld,,7,0.000068,3,0,2,2,0,2,2
dofonitinhaa,dofonitinhaa,,1,0.000068,3,0,1,1,0,1,1
Thabi_Ndima,Thabi_Ndima,,7,0.000068,3,0,1,1,0,1,1
Khanyis04581932,Khanyis04581932,,7,0.000068,3,0,3,3,0,3,3
tshepo_segodi_,tshepo_segodi_,,7,0.000181,3,7,0,7,7,0,7
kh_raccoon,kh_raccoon,,0,0.000039,700,0,0,0,0,0,0
OnebyOn87542253,OnebyOn87542253,,0,0.000105,700,0,0,0,0,0,0
itshammad7,itshammad7,,7,0.000068,3,0,1,1,0,1,1
