Id,Label,timeset,componentnumber,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
A_Laene,A_Laene,,0,0,0.000146,0,1,1,0,1,1
sanassatan,sanassatan,,0,2,0.000146,0,1,1,0,1,1
ShingLi81147224,ShingLi81147224,,0,2,0.000146,0,1,1,0,1,1
KarlosBorges,KarlosBorges,,0,2,0.000146,0,1,1,0,1,1
nogueirajulia31,nogueirajulia31,,0,2,0.000146,0,2,2,0,2,2
paivaomisto,paivaomisto,,0,2,0.000146,0,14,14,0,14,14
marquitossilva,marquitossilva,,0,4,0.000227,3,0,3,3,0,3
lululululis,lululululis,,0,2,0.000617,7,0,7,7,0,7
WellisonKerley,WellisonKerley,,0,2,0.000387,7,0,7,7,0,7
lsmaia,lsmaia,,0,2,0.000223,5,0,5,5,0,5
AlyssonMelo,AlyssonMelo,,0,2,0.000182,4,0,4,4,0,4
FMAraujo_23,FMAraujo_23,,0,2,0.000217,7,0,7,7,0,7
luizcebola,luizcebola,,0,2,0.000188,4,0,4,5,0,5
nemyas,nemyas,,0,2,0.000146,0,2,2,0,2,2
Majobolsei,Majobolsei,,0,2,0.000146,0,3,3,0,3,3
valenada_,valenada_,,0,2,0.000146,0,6,6,0,6,6
GilvanMontalvo2,GilvanMontalvo2,,0,1,0.000146,0,1,1,0,1,1
Osmaraguiar,Osmaraguiar,,0,2,0.000146,0,2,2,0,2,2
Larissa53490,Larissa53490,,0,2,0.000146,0,10,10,0,10,10
anabeatrizvln,anabeatrizvln,,0,2,0.000159,1,0,1,1,0,1
ChromosCB,ChromosCB,,0,2,0.000159,1,0,1,1,0,1
zennyldog1,zennyldog1,,0,0,0.000308,3,3,6,3,3,6
DanyLotb_,DanyLotb_,,0,2,0.000289,3,0,3,3,0,3
jessimamede_,jessimamede_,,0,2,0.000146,0,1,1,0,1,1
GuiBraGanSilTz,GuiBraGanSilTz,,0,2,0.000146,0,1,1,0,1,1
anjomau94,anjomau94,,0,2,0.001815,21,0,21,21,0,21
Librisada,Librisada,,0,2,0.000146,0,1,1,0,1,1
matth_moreir4,matth_moreir4,,0,2,0.000146,0,2,2,0,2,2
EricJoseph360,EricJoseph360,,0,2,0.000146,0,1,1,0,1,1
Lalibooone,Lalibooone,,0,2,0.000146,0,1,1,0,1,1
deborafreitasz,deborafreitasz,,0,2,0.000146,0,1,1,0,1,1
malungorei,malungorei,,12,0,0,0,0,0,0,0,0
cpeixotojr,cpeixotojr,,12,0,0,0,0,0,0,0,0
wtgirlf,wtgirlf,,0,0,0.000146,0,1,1,0,1,1
elskerumji,elskerumji,,0,2,0.000146,0,1,1,0,1,1
singbloodx,singbloodx,,0,4,0.000146,0,1,1,0,1,1
PrinsAsmodeus,PrinsAsmodeus,,0,2,0.000146,0,1,1,0,1,1
chimscap,chimscap,,0,2,0.000146,0,3,3,0,3,3
flwfodase,flwfodase,,0,2,0.000146,0,2,2,0,2,2
br2uh,br2uh,,0,0,0.000146,0,1,1,0,1,1
__MarciaSilva__,__MarciaSilva__,,0,0,0.000146,0,1,1,0,1,1
AudryM_,AudryM_,,0,2,0.000146,0,1,1,0,1,1
DudaMartinst,DudaMartinst,,0,2,0.000146,0,1,1,0,1,1
Leandro20_Mello,Leandro20_Mello,,0,2,0.000979,9,0,9,9,0,9
iuriii_saless,iuriii_saless,,0,2,0.000146,0,1,1,0,1,1
